,0,1,2,3,4,5,6,7,8,9,10,11
605,,,,,,,,,,X,1,3
606,,,,X,,,,,,O,1,0
607,O,,,X,,,,,,X,1,6
608,O,,,X,,,X,,,O,1,8
609,O,,,X,,,X,,O,X,1,2
610,O,,X,X,,,X,,O,O,1,4
611,O,,X,X,O,,X,,O,X,1,1
612,O,X,X,X,O,,X,,O,O,1,7
613,O,X,X,X,O,,X,O,O,X,1,5
614,,,,,,,,,,X,2,6
615,,,,,,,X,,,O,0,8
616,,,,,,,X,,O,X,2,7
617,,,,,,,X,X,O,O,0,3
618,,,,O,,,X,X,O,X,2,5
619,,,,O,,X,X,X,O,O,0,1
620,,O,,O,,X,X,X,O,X,2,4
621,,O,,O,X,X,X,X,O,O,0,0
622,O,O,,O,X,X,X,X,O,X,2,2
623,,,,,,,,,,X,0,3
624,,,,X,,,,,,O,2,5
625,,,,X,,O,,,,X,0,4
626,,,,X,X,O,,,,O,2,2
627,,,O,X,X,O,,,,X,0,1
628,,X,O,X,X,O,,,,O,2,7
629,,X,O,X,X,O,,O,,X,0,0
630,X,X,O,X,X,O,,O,,O,2,8
631,,,,,,,,,,X,1,7
632,,,,,,,,X,,O,1,6
633,,,,,,,O,X,,X,1,3
634,,,,X,,,O,X,,O,1,1
635,,O,,X,,,O,X,,X,1,8
636,,O,,X,,,O,X,X,O,1,4
637,,O,,X,O,,O,X,X,X,1,2
638,,O,X,X,O,,O,X,X,O,1,5
639,,O,X,X,O,O,O,X,X,X,1,0
640,,,,,,,,,,X,2,4
641,,,,,X,,,,,O,0,8
642,,,,,X,,,,O,X,2,3
643,,,,X,X,,,,O,O,0,6
644,,,,X,X,,O,,O,X,2,7
645,,,,X,X,,O,X,O,O,0,2
646,,,O,X,X,,O,X,O,X,2,0
647,X,,O,X,X,,O,X,O,O,0,1
648,X,O,O,X,X,,O,X,O,X,2,5
649,,,,,,,,,,X,2,1
650,,X,,,,,,,,O,0,6
651,,X,,,,,O,,,X,2,8
652,,X,,,,,O,,X,O,0,7
653,,X,,,,,O,O,X,X,2,2
654,,X,X,,,,O,O,X,O,0,4
655,,X,X,,O,,O,O,X,X,2,3
656,,X,X,X,O,,O,O,X,O,0,0
